Metric Name, Min, Max, Mean, Median, P95
service_sla-0, 0.056839, 0.359079, 0.182119, 0.152734, 0.346212
service_sla-1, 0.074275, 0.530198, 0.200217, 0.147656, 0.398047
service_sla-2, 0.094101, 0.479912, 0.223420, 0.190597, 0.401327
service_sla-3, 0.063039, 0.465229, 0.202651, 0.185593, 0.336967
service_sla-4, 0.091409, 0.403787, 0.215653, 0.203809, 0.383447
service_cpm-0, 0.075683, 0.501298, 0.214923, 0.177967, 0.386386
service_cpm-1, 0.063721, 0.371248, 0.207035, 0.187873, 0.354262
service_cpm-2, 0.036778, 0.401001, 0.208578, 0.185946, 0.386435
service_cpm-3, 0.092019, 0.439044, 0.211181, 0.179018, 0.403556
service_cpm-4, 0.084137, 0.514761, 0.221410, 0.195138, 0.404879
service_resp_time-0, 0.079809, 0.416292, 0.212280, 0.205117, 0.388309
service_resp_time-1, 0.094277, 0.454098, 0.223658, 0.188652, 0.381094
service_resp_time-2, 0.086011, 0.516083, 0.212078, 0.186347, 0.347835
service_resp_time-3, 0.101743, 0.444248, 0.223205, 0.188912, 0.403944
service_resp_time-4, 0.073585, 0.429595, 0.195814, 0.165943, 0.383842
service_apdex-0, 0.012914, 0.488797, 0.205727, 0.183894, 0.413834
service_apdex-1, 0.075332, 0.434196, 0.211051, 0.174364, 0.401203
service_apdex-2, 0.113420, 0.400083, 0.223263, 0.185200, 0.398595
service_apdex-3, 0.108433, 0.483356, 0.209266, 0.166356, 0.376061
service_apdex-4, 0.031945, 0.362626, 0.192641, 0.166087, 0.329777
service_sidecar_internal_req_latency_nanos-0, 0.062378, 0.505908, 0.215036, 0.196940, 0.394744
service_sidecar_internal_req_latency_nanos-1, 0.072492, 0.456649, 0.214214, 0.179633, 0.351625
service_sidecar_internal_req_latency_nanos-2, 0.085503, 0.491846, 0.222547, 0.191113, 0.384649
service_sidecar_internal_req_latency_nanos-3, 0.076169, 0.526292, 0.220516, 0.199763, 0.394561
service_sidecar_internal_req_latency_nanos-4, 0.065357, 0.417164, 0.196169, 0.178848, 0.400217
